Source,Mix,fc [Mpa],W/binder ratio,Water [kg/m3],Cement [kg/m3],ACI363 [GPa],CEB [GPa],NS3473 [GPa],Defuzzification_tri [GPa],Defuzzification_GaussianRBF [GPa],Ec [GPa]
Wee et al.1996,P1,42.7,0.4,170,425,30.90829711,34.88037014,30.84099369,35.5,38.048,37.6
Wee et al.1996,P1,63.2,0.4,170,425,37.60275628,39.7506425,34.69086457,41.1,41.772,41.8
Wee et al.1996,P2,70.2,0.4,170,383,39.63051324,41.16715273,35.80149264,42.2,43.043,43
Wee et al.1996,P3,65.1,0.4,170,298,38.16380209,40.14506106,35.00050387,41.4,41.963,41.5
Wee et al.1996,P3,70.5,0.4,170,298,39.71510355,41.22571206,35.8473235,42.3,43.107,40.4
Wee et al.1996,P4,69.7,0.4,170,191,39.48912673,41.06918198,35.72480225,42.2,42.929,41.5
Wee et al.1996,P4,71.5,0.4,170,191,39.99577915,41.41971826,35.99911403,42.4,43.299,41.4
Wee et al.1996,P5,63.6,0.4,140,292,37.72156465,39.83432831,34.75658791,41.2,41.803,42.6
Wee et al.1996,P6,85.9,0.35,170,437,43.83870562,44.03211176,38.03627242,44.7,45.753,45
Wee et al.1996,P7,90.2,0.35,170,389,44.92255091,44.75490495,38.59774755,45.4,46.376,44.4
Wee et al.1996,P8,78.3,0.3,165,550,41.85448686,42.69323336,36.99376459,43.5,44.267,44.3
Wee et al.1996,P9,85.9,0.3,165,495,43.83870562,44.03211176,38.03627242,44.7,45.753,44.3
Wee et al.1996,P10,81.2,0.3,165,385,42.62252315,43.21393387,37.39958721,44,44.888,43.9
Wee et al.1996,P10,88.1,0.3,165,385,44.39653691,44.40485225,38.32593622,45.1,46.165,44.5
Wee et al.1996,P11,81.6,0.3,165,248,42.72737577,43.28477651,37.45476251,44.1,44.985,43.8
Wee et al.1996,P11,82.6,0.3,165,248,42.98838843,43.460876,37.59187728,44.2,45.22,44.2
Wee et al.1996,P12,84.8,0.3,144,400,43.55711102,43.84335136,37.88948966,44.6,45.624,47.2
Wee et al.1996,P13,85.6,0.25,160,640,43.76208679,43.98079224,37.99637187,44.7,45.722,45.6
Wee et al.1996,P14,96.2,0.25,160,608,46.39259618,45.72602863,39.35070537,46.4,47.646,46.6
Wee et al.1996,P15,46.4,0.25,160,576,32.219599,35.86006894,31.61952883,37.3,38.882,35.2
Wee et al.1996,P15,65.8,0.25,160,576,38.3684352,40.28843749,35.11298638,41.5,42.067,40.8
Wee et al.1996,P15,73.9,0.25,160,576,40.66149665,41.87806494,36.35744297,42.8,43.597,41.6
Wee et al.1996,P15,87.6,0.25,160,576,44.27037429,44.32068819,38.26055203,45,46.134,44.5
Wee et al.1996,P15,93.1,0.25,160,576,45.63898542,45.2294896,38.96591729,45.9,46.942,45.4
Wee et al.1996,P15,95.3,0.25,160,576,46.17507304,45.58298485,39.23989803,46.2,47.465,45.2
Wee et al.1996,P15,100.6,0.25,160,576,47.44168779,46.41280186,39.88222637,47.1,48.365,45.8
Wee et al.1996,P15,102.1,0.25,160,576,47.79406961,46.64234467,40.05970277,47.3,48.5,46.1
Wee et al.1996,P15,102.8,0.25,160,576,47.95762838,46.74869567,40.1419009,47.4,48.591,46.7
Wee et al.1996,P15,106.3,0.25,160,576,48.76719461,47.27333207,40.54711692,48,49.312,48.4
Wee et al.1996,P16,104.2,0.25,160,544,48.28308379,46.95995797,40.30512902,47.7,48.831,46.3
Wee et al.1996,P17,92.8,0.25,160,448,45.56539389,45.1808557,38.92820628,45.8,46.871,45.8
Wee et al.1996,P17,94.6,0.25,160,448,46.00517732,45.47110471,39.15320704,46.1,47.305,47.3
Wee et al.1996,P18,94,0.25,160,288,45.85905145,45.37476733,39.07854236,46,47.161,46.3
Wee et al.1996,P18,96.6,0.25,160,288,46.48894643,45.78931733,39.39972022,46.5,47.716,46.5
Wee et al.1996,P19,91.5,0.25,160,192,45.2451141,44.96888899,38.76379858,45.6,46.592,45.9
Wee et al.1996,P19,93.6,0.25,160,192,45.76137498,45.31031445,39.02858038,46,47.063,47.1
Wee et al.1996,P20,91.7,0.25,150,500,45.29453532,45.00162936,38.78919804,45.7,46.631,46
Wee et al.1996,P21,119.9,0.2,150,675,51.79296004,49.20903565,42.03835903,50.2,51.775,49.1
Wee et al.1996,P21,125.6,0.2,150,675,53.00977495,49.97678789,42.6281899,51.1,52.765,50.9
Ke-Ru Wu et al. 2001,0.26,98.2,0.182,122.668,471.8,46.87236691,46.04073935,39.59437084,46.7,47.933,48.2
Ke-Ru Wu et al. 2001,0.26,99.1,0.182,122.668,471.8,47.08666892,46.18096582,39.70288779,46.856,48.013,36.2
Ke-Ru Wu et al. 2001,0.26,83.4,0.182,122.668,471.8,43.19606302,43.60073497,37.70073483,44.344,45.389,33.2
Ke-Ru Wu et al. 2001,0.26,79.8,0.182,122.668,471.8,42.25349003,42.96413676,37.20496218,43.768,44.557,33.7
Ke-Ru Wu et al. 2001,0.44,70.4,0.308,117.656,267.4,39.68692681,41.20621077,35.83206174,42.3,43.086,39.5
