 Cement(kg/m3), Water(kg/m3),Coarse aggregate(kg/m3),Fine aggregate(kg/m3), FA (kg/m3),SF (kg/m3),GGBFS (kg/m3),SP (kg/m3),Cylinder compressive strength (MPa),Splitting tensile strength (MPa),Flexural strength (MPa),Elastic modulus (GPa),Chloride permeability (Coulomb) 28d,Chloride permeability (Coulomb) 90d,Chloride permeability (Coulomb) 180d,Drying shrinkage (??) 7d,Drying shrinkage (??) 28d,Drying shrinkage (??) 90d,Drying shrinkage (??)120d,Creep (??) 28d,Creep (??) 90d,Creep (??) 150d,Abrasion (mm) 28 d
300,150,1097,673,200,0,0,4.5,52.7,2.52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
225,150,1097,673,275,0,0,4.5,39.95,2.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
150,150,1097,673,350,0,0,4,35.7,2.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
300,150,1097,673,0,0,200,5.5,59.5,2.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
225,150,1097,673,0,0,275,6,51,2.65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
150,150,1097,673,0,0,350,6.5,48.45,2.35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
225,150,1097,673,200,0,75,5,48.45,2.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
225,150,1097,673,75,0,200,5,55.25,2.37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
166,168,820,932,249,0,0,1.69,34.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
83,168,820,932,332,0,0,1.69,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
41.5,168,820,932,373.5,0,0,1.69,10.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
166,168,820,932,0,0,249,1.69,52.3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
83,168,820,932,0,0,332,1.69,57.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
41.5,168,820,932,0,0,373.5,1.69,37.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
166,168,820,932,62.25,0,186.75,1.69,54.2,-1,-1,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
83,168,820,932,83,0,249,1.69,63,-1,-1,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
41.5,168,820,932,93.375,0,280.125,1.69,47.2,-1,-1,39.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
166,168,820,932,124.5,0,124.5,1.69,56,-1,-1,40.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
83,168,820,932,166,0,166,1.69,41.4,-1,-1,41.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
41.5,168,820,932,186.75,0,186.75,1.69,33,-1,-1,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
166,168,820,932,186.75,0,62.25,1.69,49,-1,-1,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
83,168,820,932,249,0,83,1.69,28,-1,-1,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
41.5,168,820,932,280.125,0,93.375,1.69,32,-1,-1,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
260,206.7,849.4,785,260,0,0,5.72,15.33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
260,206.7,849.4,785,130,0,130,5.43,28.48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
260,206.7,849.4,785,104,52,104,6.76,34.26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
130,206.7,849.4,785,390,0,0,5.94,6.09,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
130,206.7,849.4,785,195,0,195,4.68,16.71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
130,206.7,849.4,785,156,78,156,6.8,30.21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
260,214.9,832,785,260,0,0,4.78,17.85,1.57,-1,-1,-1,-1,-1,-1,396,480,496,-1,-1,-1,-1
260,214.9,832,785,130,0,130,5.67,32.62,2.75,-1,-1,-1,-1,-1,-1,400,471,478,-1,-1,-1,-1
260,214.9,832,785,104,52,104,6.86,42.02,3.66,-1,-1,-1,-1,-1,-1,425,522,523,-1,-1,-1,-1
130,214.9,832,785,390,0,0,7.4,11.59,0.96,-1,-1,-1,-1,-1,-1,405,500,500,-1,-1,-1,-1
130,214.9,832,785,195,0,195,7.28,26.21,1.67,-1,-1,-1,-1,-1,-1,407,507,507,-1,-1,-1,-1
130,214.9,832,785,156,78,156,7.57,36.34,2.89,-1,-1,-1,-1,-1,-1,440,550,551,-1,-1,-1,-1
290,163,1048,670,72.5,0,0,0,37.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
290,163,1048,670,72.5,0,0,0,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
