 Cement(kg/m3), Water(kg/m3),Coarse aggregate(kg/m3),Fine aggregate(kg/m3), FA (kg/m3),SF (kg/m3),GGBFS (kg/m3),SP (kg/m3),Chloride permeability (Coulomb) 28d
436.5,200.0,778.0,880.0,0.0,18.0,0.0,6.7,5183.0
418.5,200.0,774.0,875.0,0.0,36.0,0.0,7.5,966.0
400.0,200.0,771.0,870.0,0.0,54.5,0.0,8.0,560.0
337.0,200.0,774.0,874.0,0.0,36.0,81.5,6.7,614.0
373.0,200.0,778.0,878.0,81.5,0.0,0.0,5.82,3810.0
291.0,200.0,773.0,872.0,163.5,0.0,0.0,6.35,3240.0
209.5,200.0,772.0,871.0,163.5,0.0,81.5,5.5,1326.0
373.0,200.0,772.0,872.0,81.5,0.0,0.0,4.67,4901.0
291.0,200.0,762.0,859.0,163.5,0.0,0.0,4.36,4159.0
209.5,200.0,761.0,858.0,163.5,0.0,81.5,4.31,4204.0
373.0,200.0,781.0,881.0,0.0,0.0,81.5,5.35,2520.0
255.5,200.0,769.0,868.0,81.5,36.0,81.5,7.0,511.0
674.4,187.4,1058.8,453.3,75.0,0.0,0.0,3.4,900.0
594.4,185.8,1049.4,449.3,148.6,0.0,0.0,3.0,886.0
515.7,184.2,1040.5,445.5,221.0,0.0,0.0,2.3,902.0
438.2,182.6,1031.4,441.6,292.1,0.0,0.0,2.0,959.0
362.0,181.0,1022.4,437.7,362.0,0.0,0.0,1.8,988.0
300.0,180.0,595.0,958.0,300.0,0.0,0.0,1.5,2000.0
240.0,180.0,595.0,933.0,360.0,0.0,0.0,1.02,1850.0
180.0,180.0,595.0,908.0,420.0,0.0,0.0,0.72,1830.0
570.0,180.0,595.0,1072.0,0.0,30.0,0.0,7.98,600.0
540.0,180.0,595.0,1059.0,0.0,60.0,0.0,8.58,380.0
300.0,180.0,595.0,958.0,270.0,30.0,0.0,2.22,610.0
240.0,180.0,595.0,933.0,330.0,30.0,0.0,1.8,690.0
180.0,180.0,595.0,908.0,390.0,30.0,0.0,1.2,990.0
300.0,180.0,595.0,958.0,240.0,60.0,0.0,3.6,500.0
240.0,180.0,595.0,933.0,300.0,60.0,0.0,2.88,510.0
180.0,180.0,595.0,908.0,360.0,60.0,0.0,2.28,515.0
257.0,180.0,621.0,1023.0,257.0,0.0,0.0,1.3364,3100.0
206.0,180.0,621.0,1001.0,309.0,0.0,0.0,0.9766,2500.0
154.0,180.0,621.0,980.0,360.0,0.0,0.0,0.6682,2470.0
489.0,180.0,621.0,1120.0,0.0,26.0,0.0,8.224,1100.0
463.0,180.0,621.0,1110.0,0.0,51.0,0.0,8.995,570.0
257.0,180.0,621.0,1023.0,231.0,26.0,0.0,2.056,1100.0
206.0,180.0,621.0,1001.0,283.0,26.0,0.0,1.6448,1450.0
154.0,180.0,621.0,980.0,334.0,26.0,0.0,1.1308,2000.0
257.0,180.0,621.0,1023.0,206.0,51.0,0.0,3.1868,960.0
206.0,180.0,621.0,1001.0,257.0,51.0,0.0,2.57,750.0
154.0,180.0,621.0,980.0,309.0,51.0,0.0,2.056,1380.0
225.0,180.0,640.0,1072.0,225.0,0.0,0.0,1.17,3560.0
180.0,180.0,640.0,1053.0,270.0,0.0,0.0,0.945,3200.0
135.0,180.0,640.0,1034.0,315.0,0.0,0.0,0.585,2830.0
428.0,180.0,640.0,1157.0,0.0,23.0,0.0,8.55,1660.0
405.0,180.0,640.0,1147.0,0.0,45.0,0.0,9.45,750.0
225.0,180.0,640.0,1072.0,203.0,23.0,0.0,1.935,910.0
180.0,180.0,640.0,1053.0,248.0,23.0,0.0,1.53,1760.0
135.0,180.0,640.0,1034.0,293.0,23.0,0.0,1.26,2080.0
225.0,180.0,640.0,1072.0,180.0,45.0,0.0,2.88,1000.0
180.0,180.0,640.0,1053.0,225.0,45.0,0.0,2.34,1000.0
135.0,180.0,640.0,1034.0,270.0,45.0,0.0,2.07,1570.0
175.0,210.0,952.0,883.0,0.0,0.0,175.0,0.0,703.0
176.0,211.0,940.0,872.0,176.0,0.0,0.0,0.0,926.0
176.0,211.0,951.0,881.0,88.0,0.0,88.0,0.0,660.0
222.0,168.0,945.0,876.0,0.0,0.0,222.0,4.5,395.0
221.0,167.0,921.0,855.0,221.0,0.0,0.0,3.4,531.0
222.0,168.0,933.0,865.0,111.0,0.0,111.0,4.7,387.0
437.0,204.0,785.0,908.0,51.0,26.0,0.0,10.28,740.0
424.0,204.0,785.0,908.0,51.0,39.0,0.0,10.28,748.0
411.0,204.0,785.0,908.0,51.0,51.0,0.0,10.26,747.0
411.0,204.0,785.0,908.0,77.0,26.0,0.0,10.28,679.0
398.0,204.0,785.0,908.0,77.0,39.0,0.0,10.28,678.0
386.0,204.0,785.0,908.0,77.0,51.0,0.0,10.28,677.0
386.0,204.0,785.0,908.0,103.0,26.0,0.0,10.3,598.0
373.0,204.0,785.0,908.0,103.0,39.0,0.0,10.3,560.0
360.0,204.0,785.0,908.0,103.0,51.0,0.0,10.28,530.0
360.0,204.0,785.0,908.0,129.0,26.0,0.0,10.3,480.0
347.0,204.0,785.0,908.0,129.0,39.0,0.0,10.3,450.0
