 Cement(kg/m3), Water(kg/m3),Coarse aggregate(kg/m3),Fine aggregate(kg/m3), FA (kg/m3),SF (kg/m3),GGBFS (kg/m3),SP (kg/m3),Splitting tensile strength (MPa)
300.0,150.0,1097.0,673.0,200.0,0.0,0.0,4.5,2.52
225.0,150.0,1097.0,673.0,275.0,0.0,0.0,4.5,2.4
150.0,150.0,1097.0,673.0,350.0,0.0,0.0,4.0,2.05
300.0,150.0,1097.0,673.0,0.0,0.0,200.0,5.5,2.75
225.0,150.0,1097.0,673.0,0.0,0.0,275.0,6.0,2.65
150.0,150.0,1097.0,673.0,0.0,0.0,350.0,6.5,2.35
225.0,150.0,1097.0,673.0,200.0,0.0,75.0,5.0,2.5
225.0,150.0,1097.0,673.0,75.0,0.0,200.0,5.0,2.37
260.0,214.9,832.0,785.0,260.0,0.0,0.0,4.78,1.57
260.0,214.9,832.0,785.0,130.0,0.0,130.0,5.67,2.75
260.0,214.9,832.0,785.0,104.0,52.0,104.0,6.86,3.66
130.0,214.9,832.0,785.0,390.0,0.0,0.0,7.4,0.96
130.0,214.9,832.0,785.0,195.0,0.0,195.0,7.28,1.67
130.0,214.9,832.0,785.0,156.0,78.0,156.0,7.57,2.89
290.0,163.0,1048.0,670.0,72.5,0.0,0.0,0.0,3.27
253.75,163.0,1048.0,670.0,108.75,0.0,0.0,0.0,4.128
253.75,163.0,1048.0,670.0,108.75,0.0,0.0,0.0,3.7275
253.75,163.0,1048.0,670.0,108.75,0.0,0.0,0.0,3.46725
253.75,163.0,1048.0,670.0,108.75,0.0,0.0,0.0,3.4338
253.75,163.0,1048.0,670.0,108.75,0.0,0.0,0.0,3.58225
253.75,163.0,1048.0,670.0,108.75,0.0,0.0,0.0,3.64
253.75,163.0,1048.0,670.0,108.75,0.0,0.0,0.0,3.8038
235.62,163.0,1048.0,670.0,0.0,0.0,126.88,0.0,3.91
253.75,163.0,1048.0,670.0,90.62,18.12,0.0,0.0,3.53
228.0,182.0,1100.0,770.0,0.0,0.0,228.0,0.0,3.88
228.0,182.0,1100.0,770.0,0.0,23.0,228.0,1.82,4.5
228.0,182.0,1100.0,770.0,0.0,46.0,182.0,2.58,4.45
228.0,182.0,1100.0,770.0,0.0,68.0,159.0,2.8,4.9
494.0,135.2,1146.0,667.0,0.0,26.0,0.0,18.2,6.38
468.0,135.2,1146.0,667.0,0.0,52.0,0.0,18.2,6.37
442.0,135.2,1146.0,667.0,0.0,78.0,0.0,18.2,6.65
416.0,135.2,1146.0,667.0,0.0,104.0,0.0,18.2,6.51
390.0,135.2,1146.0,667.0,0.0,130.0,0.0,18.2,5.75
484.5,153.0,1122.5,653.0,0.0,25.5,0.0,17.85,5.61
459.0,153.0,1122.5,653.0,0.0,51.0,0.0,17.85,6.05
433.5,153.0,1122.5,653.0,0.0,76.5,0.0,17.85,6.25
408.0,153.0,1122.5,653.0,0.0,102.0,0.0,17.85,6.24
382.5,153.0,1122.5,653.0,0.0,127.5,0.0,17.85,5.61
475.0,170.0,1100.0,640.0,0.0,25.0,0.0,17.5,5.61
450.0,170.0,1100.0,640.0,0.0,50.0,0.0,17.5,5.71
425.0,170.0,1100.0,640.0,0.0,75.0,0.0,17.5,5.75
400.0,170.0,1100.0,640.0,0.0,100.0,0.0,17.5,6.05
375.0,170.0,1100.0,640.0,0.0,125.0,0.0,17.5,5.85
465.5,186.2,1078.0,628.0,0.0,24.5,0.0,17.15,4.51
441.0,186.2,1078.0,628.0,0.0,49.0,0.0,17.15,5.17
416.5,186.2,1078.0,628.0,0.0,73.5,0.0,17.15,5.2
392.0,186.2,1078.0,628.0,0.0,98.0,0.0,17.15,5.21
367.5,186.2,1078.0,628.0,0.0,122.5,0.0,17.15,5.25
343.0,186.2,1078.0,628.0,0.0,147.0,0.0,17.15,4.85
456.0,201.6,1058.0,616.0,0.0,24.0,0.0,16.8,4.4
432.0,201.6,1058.0,616.0,0.0,48.0,0.0,16.8,4.45
408.0,201.6,1058.0,616.0,0.0,72.0,0.0,16.8,4.5
384.0,201.6,1058.0,616.0,0.0,96.0,0.0,16.8,4.54
360.0,201.6,1058.0,616.0,0.0,120.0,0.0,16.8,4.51
336.0,201.6,1058.0,616.0,0.0,144.0,0.0,16.8,4.35
275.0,176.0,504.0,900.0,275.0,0.0,0.0,5.5,1.98
465.0,227.7,590.0,910.0,85.0,0.0,0.0,10.73,2.4
440.0,228.6,590.0,910.0,110.0,0.0,0.0,11.01,2.12
415.0,233.3,590.0,910.0,135.0,0.0,0.0,9.91,1.83
385.0,234.4,590.0,910.0,165.0,0.0,0.0,9.91,1.76
355.0,241.6,590.0,910.0,195.0,0.0,0.0,9.91,1.55
420.0,165.0,746.0,847.0,180.0,0.0,0.0,13.02,4.85
360.0,165.0,735.0,837.0,240.0,0.0,0.0,19.98,3.73
300.0,165.0,723.0,825.0,300.0,0.0,0.0,20.4,3.8
240.0,165.0,712.0,815.0,360.0,0.0,0.0,22.02,3.5
360.0,165.0,734.0,835.0,180.0,60.0,0.0,22.02,5.28
300.0,165.0,723.0,825.0,240.0,60.0,0.0,21.0,4.01
240.0,165.0,712.0,813.0,300.0,60.0,0.0,19.98,4.23
180.0,165.0,701.0,804.0,360.0,60.0,0.0,18.0,4.9
120.0,112.0,1200.0,600.0,280.0,0.0,0.0,5.6,2.53
120.0,116.0,1200.0,600.0,280.0,0.0,0.0,0.0,2.51
200.0,132.0,1200.0,600.0,200.0,0.0,0.0,5.6,4.06
200.0,120.0,1200.0,600.0,200.0,0.0,0.0,0.0,4.2
120.0,112.0,1200.0,600.0,280.0,0.0,0.0,5.6,2.88
120.0,116.0,1200.0,600.0,280.0,0.0,0.0,0.0,2.82
200.0,132.0,1200.0,600.0,200.0,0.0,0.0,5.6,4.46
200.0,120.0,1200.0,600.0,200.0,0.0,0.0,0.0,4.59
120.0,172.0,1200.0,600.0,280.0,0.0,0.0,5.6,1.82
120.0,160.0,1200.0,600.0,280.0,0.0,0.0,0.0,2.04
200.0,172.0,1200.0,600.0,200.0,0.0,0.0,5.6,3.19
200.0,156.0,1200.0,600.0,200.0,0.0,0.0,0.0,3.69
437.0,204.0,785.0,908.0,51.0,26.0,0.0,10.28,3.73
424.0,204.0,785.0,908.0,51.0,39.0,0.0,10.28,3.73
411.0,204.0,785.0,908.0,51.0,51.0,0.0,10.26,3.97
411.0,204.0,785.0,908.0,77.0,26.0,0.0,10.28,3.8
398.0,204.0,785.0,908.0,77.0,39.0,0.0,10.28,4.0
386.0,204.0,785.0,908.0,77.0,51.0,0.0,10.28,4.02
386.0,204.0,785.0,908.0,103.0,26.0,0.0,10.3,4.12
373.0,204.0,785.0,908.0,103.0,39.0,0.0,10.3,4.25
360.0,204.0,785.0,908.0,103.0,51.0,0.0,10.28,4.58
